year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,20033.4865267,14824.7800298
2018,20033.4865267,14824.7800298
2019,20033.4865267,14824.7800298
2020,20033.4865267,14824.7800298
2021,20033.4865267,14824.7800298
2022,20033.4865267,14824.7800298
2023,20033.4865267,14824.7800298
2024,20033.4865267,14824.7800298
2025,20033.4865267,14824.7800298
2026,20033.4865267,14824.7800298
2027,20033.4865267,14824.7800298
2028,20033.4865267,14824.7800298
2029,20033.4865267,14824.7800298
2030,20033.4865267,14824.7800298
2031,20033.4865267,14824.7800298
