year,Base case diesel consumed,Modeled solar power (pv)
2016,50385.6815193,49690.8552063
2017,50385.6815193,49696.4138168
2018,50385.6815193,49701.9279584
2019,50385.6815193,49707.3979869
2020,50385.6815193,49712.8242551
2021,50385.6815193,49718.2071132
2022,50385.6815193,49723.5469085
2023,50385.6815193,49728.8439854
2024,50385.6815193,49734.0986857
2025,50385.6815193,49739.3113483
2026,50385.6815193,49744.4823097
2027,50385.6815193,49749.6119034
2028,50385.6815193,49754.7004603
2029,50385.6815193,49759.7483088
2030,50385.6815193,49764.7557744
2031,50385.6815193,49769.7231804
2032,50385.6815193,49774.6508471
2033,50385.6815193,49779.5390925
2034,50385.6815193,49784.3882319
2035,50385.6815193,49789.1985782
