year,Base case diesel consumed,Modeled non-residential ashp
2017,41720.1300457,29204.091032
2018,41720.1300457,29204.091032
2019,41720.1300457,29204.091032
2020,41720.1300457,29204.091032
2021,41720.1300457,29204.091032
2022,41720.1300457,29204.091032
2023,41720.1300457,29204.091032
2024,41720.1300457,29204.091032
2025,41720.1300457,29204.091032
2026,41720.1300457,29204.091032
2027,41720.1300457,29204.091032
2028,41720.1300457,29204.091032
2029,41720.1300457,29204.091032
2030,41720.1300457,29204.091032
2031,41720.1300457,29204.091032
