year,Base case diesel consumed,False pass heat recovery
2019,41720.1300457,36447.1300457
2020,41720.1300457,36447.1300457
2021,41720.1300457,36447.1300457
2022,41720.1300457,36447.1300457
2023,41720.1300457,36447.1300457
2024,41720.1300457,36447.1300457
2025,41720.1300457,36447.1300457
2026,41720.1300457,36447.1300457
2027,41720.1300457,36447.1300457
2028,41720.1300457,36447.1300457
2029,41720.1300457,36447.1300457
2030,41720.1300457,36447.1300457
2031,41720.1300457,36447.1300457
