year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,7278.8,512795.0,512795.0
2004,,7278.8,483743.0,483743.0
2005,,7278.8,435035.0,435035.0
2006,,7278.8,424372.0,424372.0
2007,,7278.8,190376.0,190376.0
2008,,7278.8,607000.0,607000.0
2009,,7278.8,607000.0,607000.0
2010,,7278.8,607000.0,607000.0
2011,,7278.8,494949.0,494949.0
2012,,7278.8,620300.0,620300.0
2013,,7278.8,732640.0,732640.0
2014,start of forecast,7278.8,607000.0,607000.0
2015,,7278.8,607000.0,607000.0
2016,,7278.8,607000.0,607000.0
2017,,7278.8,607000.0,607000.0
2018,,7278.8,607000.0,607000.0
2019,,7278.8,607000.0,607000.0
2020,,7278.8,607000.0,607000.0
2021,,7278.8,607000.0,607000.0
2022,,7278.8,607000.0,607000.0
2023,,7278.8,607000.0,607000.0
2024,,7278.8,607000.0,607000.0
2025,,7278.8,607000.0,607000.0
2026,,7278.8,607000.0,607000.0
2027,,7278.8,607000.0,607000.0
2028,,7278.8,607000.0,607000.0
2029,,7278.8,607000.0,607000.0
2030,,7278.8,607000.0,607000.0
2031,,7278.8,607000.0,607000.0
2032,,7278.8,607000.0,607000.0
2033,,7278.8,607000.0,607000.0
2034,,7278.8,607000.0,607000.0
2035,,7278.8,607000.0,607000.0
2036,,7278.8,607000.0,607000.0
2037,,7278.8,607000.0,607000.0
2038,,7278.8,607000.0,607000.0
2039,,7278.8,607000.0,607000.0
2040,,7278.8,607000.0,607000.0
