year,Base case cost,Modeled residential energy efficiency
2017,58999.5891364,63261.5951308
2018,64858.3222226,68181.3832077
2019,73227.9409172,75209.6518889
2020,77203.5097971,78548.0795125
2021,79923.6358729,80832.2668338
2022,82016.0405465,82589.3340041
2023,83480.7238181,83819.2810234
2024,84736.1666222,84873.5213255
2025,85991.6094264,85927.7616277
2026,87874.7736327,87509.122081
2027,89339.4569043,88739.0691002
2028,90594.8997085,89793.3094024
2029,92268.8234474,91198.9631386
2030,93105.7853168,91901.7900068
2031,94988.9495231,93483.15046
2032,96872.1137294,95064.5109133
2033,98755.2779357,96645.8713666
2034,100638.442142,98227.2318198
2035,101893.884946,99281.472122
2036,103986.28962,101038.539292
