year,Base case cost,Modeled water and wastewater efficiency
2017,104715.103652,101711.944796
2018,110188.320811,104914.347982
2019,117372.281504,109331.107916
2020,120899.166629,111200.841504
2021,123714.035844,112586.460263
2022,125811.771996,113483.984706
2023,127373.171035,114019.707601
2024,128766.640043,114451.395027
2025,130365.086316,115040.030519
2026,132356.683118,115917.170238
2027,133987.128202,116553.836288
2028,135631.733934,117212.755187
2029,137488.869296,118032.857222
2030,138786.759806,118472.658674
2031,140868.480052,119473.548845
