year,Base case cost,Scammon bay hydroelectric project
2021,413863.083489,566389.193268
2022,426303.916343,569936.993313
2023,435209.087973,571209.447639
2024,442874.577555,571745.22197
2025,451606.633822,573093.322386
2026,463216.366226,576684.831246
2027,472296.853838,578618.600397
2028,481421.35383,580710.846927
2029,491891.165582,583883.040968
2030,498497.423877,584432.283236
2031,510653.643338,589129.504686
2032,522588.333817,593709.302468
2033,533265.003757,597509.891477
2034,546937.449721,603651.246176
2035,555079.740091,605867.986712
2036,567557.249928,611383.190589
2037,576104.454198,614191.992344
2038,588709.599938,620017.593141
2039,600042.787886,625036.563244
2040,614131.150845,632142.529332
2041,616138.11539,630645.51073
2042,618145.079935,629230.61673
2043,620486.538571,628230.416645
2044,622493.503116,626974.042583
2045,624834.961753,626128.647122
2046,627176.420389,625357.943551
2047,629517.879025,624660.181288
2048,631859.337661,624033.650766
2049,634200.796297,623476.682462
2050,636542.254933,622987.646059
2051,636542.254933,620223.490751
2052,636542.254933,617524.120332
2053,636542.254933,614888.016416
2054,636542.254933,612313.696165
2055,636542.254933,609799.711552
2056,636542.254933,607344.648456
2057,636542.254933,604947.125905
2058,636542.254933,602605.795279
2059,636542.254933,600319.339608
2060,636542.254933,598086.472727
2061,636542.254933,595905.938665
2062,636542.254933,593776.51087
2063,636542.254933,591696.991534
2064,636542.254933,589666.21095
2065,636542.254933,587683.026772
2066,636542.254933,585746.323466
2067,636542.254933,583855.01166
2068,636542.254933,582008.027459
2069,636542.254933,580204.331955
2070,636542.254933,578442.910569
