year,Base case diesel consumed,Modeled residential ashp
2017,67314.0268235,14551.1868749
2018,70009.0471355,17246.207187
2019,72704.0674476,19941.227499
2020,75399.0877596,22636.247811
2021,78094.1080716,25331.2681231
2022,81687.4684877,28924.6285391
2023,84382.4887997,31619.6488511
2024,87975.8492157,35213.0092672
2025,90670.8695278,37908.0295792
2026,94264.2299438,41501.3899952
2027,96959.2502558,44196.4103073
2028,100552.610672,47789.7707233
2029,104145.971088,51383.1311394
2030,107739.331504,54976.4915554
2031,111332.69192,58569.8519714
