year,annotation,Average Load
2003,,111.0
2004,,129.0
2005,,167.0
2006,,176.0
2007,,184.0
2008,,191.0
2009,,194.0
2010,,186.0
2011,,192.0
2012,,179.0
2013,,181.0
2014,,183.0
2015,,180.0
2016,start of forecast,183.0
2017,,184.0
2018,,184.0
2019,,184.0
2020,,185.0
2021,,185.0
2022,,186.0
2023,,186.0
2024,,187.0
2025,,187.0
2026,,188.0
2027,,188.0
2028,,189.0
2029,,189.0
2030,,190.0
2031,,191.0
2032,,191.0
2033,,192.0
2034,,192.0
2035,,193.0
2036,,193.0
2037,,194.0
2038,,195.0
2039,,195.0
2040,,196.0
