year,Base case diesel consumed,"Scammon bay, alaska heat recovery study"
2019,135338.63078,123760.63078
2020,135338.63078,123760.63078
2021,135338.63078,123760.63078
2022,135338.63078,123760.63078
2023,135338.63078,123760.63078
2024,135338.63078,123760.63078
2025,135338.63078,123760.63078
2026,135338.63078,123760.63078
2027,135338.63078,123760.63078
2028,135338.63078,123760.63078
2029,135338.63078,123760.63078
2030,135338.63078,123760.63078
2031,135338.63078,123760.63078
2032,135338.63078,123760.63078
2033,135338.63078,123760.63078
2034,135338.63078,123760.63078
2035,135338.63078,123760.63078
2036,135338.63078,123760.63078
2037,135338.63078,123760.63078
2038,135338.63078,123760.63078
