year,Base case diesel consumed,Scammon bay hydroelectric project
2021,127342.487227,85508.9115236
2022,127635.903097,85802.3273928
2023,128002.672933,86169.0972293
2024,128369.44277,86535.8670657
2025,128662.858639,86829.2829349
2026,129029.628475,87196.0527714
2027,129396.398312,87562.8226079
2028,129763.168148,87929.5924444
2029,130129.937985,88296.3622809
2030,130496.707821,88663.1321174
2031,130936.831625,89103.2559211
2032,131303.601461,89470.0257576
2033,131670.371298,89836.7955941
2034,132110.495102,90276.9193979
2035,132477.264938,90643.6892344
2036,132917.388742,91083.8130382
2037,133357.512546,91523.9368419
2038,133797.63635,91964.0606457
2039,134237.760153,92404.1844495
2040,134677.883957,92844.3082533
2041,135118.007761,93284.4320571
2042,135558.131565,93724.5558608
2043,136071.609336,94238.0336319
2044,136511.73314,94678.1574357
2045,137025.210911,95191.6352068
2046,137538.688682,95705.1129779
2047,138052.166453,96218.5907489
2048,138565.644224,96732.06852
2049,139079.121995,97245.5462911
2050,139592.599766,97759.0240622
2051,139592.599766,97759.0240622
2052,139592.599766,97759.0240622
2053,139592.599766,97759.0240622
2054,139592.599766,97759.0240622
2055,139592.599766,97759.0240622
2056,139592.599766,97759.0240622
2057,139592.599766,97759.0240622
2058,139592.599766,97759.0240622
2059,139592.599766,97759.0240622
2060,139592.599766,97759.0240622
2061,139592.599766,97759.0240622
2062,139592.599766,97759.0240622
2063,139592.599766,97759.0240622
2064,139592.599766,97759.0240622
2065,139592.599766,97759.0240622
2066,139592.599766,97759.0240622
2067,139592.599766,97759.0240622
2068,139592.599766,97759.0240622
2069,139592.599766,97759.0240622
2070,139592.599766,97759.0240622
