year,Base case cost,"Scammon bay, alaska heat recovery study"
2019,697014.531899,685541.56498
2020,720022.099131,705440.509073
2021,737616.121133,720415.755195
2022,749796.597903,730466.676928
2023,757916.91575,736830.268841
2024,764683.847289,741981.146145
2025,772804.165136,748393.938062
2026,783631.255598,757305.681171
2027,791751.573445,763765.393867
2028,799871.891292,770247.745429
2029,809345.595446,777989.811576
2030,814759.140677,782040.648912
2031,825586.23114,791062.995564
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
