year,Base case cost,Modeled solar power (pv)
2016,242939.537211,259745.540864
2017,290188.294627,305857.817399
2018,326272.578219,341003.436102
2019,373929.183693,387565.279111
2020,396393.102638,409340.460827
2021,413863.083489,426212.57535
2022,426303.916343,438144.293707
2023,435209.087973,446608.22649
2024,442874.577555,453861.470758
2025,451606.633822,462172.61324
2026,463216.366226,473334.642206
2027,472296.853838,482014.091504
2028,481421.35383,490747.01879
2029,491891.165582,500816.60635
2030,498497.423877,507085.274294
2031,510653.643338,518841.695383
2032,522588.333817,530385.810263
2033,533265.003757,540698.271792
2034,546937.449721,553980.657369
2035,555079.740091,561810.069188
