year,Base case diesel consumed,Modeled diesel efficiency
2019,126755.655489,115232.414081
2020,127049.071358,115499.15578
2021,127342.487227,115765.89748
2022,127635.903097,116032.639179
2023,128002.672933,116366.066303
2024,128369.44277,116699.493427
2025,128662.858639,116966.235126
2026,129029.628475,117299.66225
2027,129396.398312,117633.089374
2028,129763.168148,117966.516498
2029,130129.937985,118299.943622
2030,130496.707821,118633.370747
2031,130936.831625,119033.483295
2032,131303.601461,119366.91042
2033,131670.371298,119700.337544
2034,132110.495102,120100.450093
2035,132477.264938,120433.877217
2036,132917.388742,120833.989765
2037,133357.512546,121234.102314
2038,133797.63635,121634.214863
