year,Base case cost,Modeled solar power
2020,424725.603533,431273.856804
2021,441196.956579,447429.914671
2022,452962.208754,458923.906933
2023,462374.410494,468089.434166
2024,469433.5618,474925.922766
2025,477669.238322,482935.199544
2026,488257.96528,493284.899084
2027,496493.641803,501304.903367
2028,503552.793108,508162.344854
2029,512964.994849,517360.148531
2030,518847.620936,523059.526133
2031,529436.347894,533434.970372
2032,540025.074852,543815.372592
2033,550613.80181,554200.626513
2034,562379.053985,565758.72363
2035,569438.205291,572648.950225
2036,580026.932249,583048.010872
2037,587086.083554,589946.633598
2038,598851.335729,601522.664559
2039,607087.012252,609597.808198
