year,Base case diesel consumed,Modeled transmission and interties
2021,117652.521754,0.0
2022,117652.521754,0.0
2023,117652.521754,0.0
2024,117652.521754,0.0
2025,117652.521754,0.0
2026,117652.521754,0.0
2027,117652.521754,0.0
2028,117652.521754,0.0
2029,117652.521754,0.0
2030,117652.521754,0.0
2031,117652.521754,0.0
2032,117652.521754,0.0
2033,117652.521754,0.0
2034,117652.521754,0.0
2035,117652.521754,0.0
2036,117652.521754,0.0
2037,117652.521754,0.0
2038,117652.521754,0.0
2039,117652.521754,0.0
2040,117728.085352,0.0
