year,Base case diesel consumed,Modeled wind power
2019,117652.521754,96838.7403207
2020,117652.521754,96838.7403207
2021,117652.521754,96838.7403207
2022,117652.521754,96838.7403207
2023,117652.521754,96838.7403207
2024,117652.521754,96838.7403207
2025,117652.521754,96838.7403207
2026,117652.521754,96838.7403207
2027,117652.521754,96838.7403207
2028,117652.521754,96838.7403207
2029,117652.521754,96838.7403207
2030,117652.521754,96838.7403207
2031,117652.521754,96838.7403207
2032,117652.521754,96838.7403207
2033,117652.521754,96838.7403207
2034,117652.521754,96838.7403207
2035,117652.521754,96838.7403207
2036,117652.521754,96838.7403207
2037,117652.521754,96838.7403207
2038,117652.521754,96838.7403207
