year,Base case cost,Modeled biomass for heat (cordwood)
2017,807543.685544,856506.838424
2018,847547.530247,890192.131946
2019,906036.264353,940177.192432
2020,935513.574949,965254.316183
2021,956162.779651,982546.654171
2022,970907.679651,994637.501949
2023,990168.065545,1011606.15735
2024,999095.654948,1018603.8138
2025,1009502.41965,1026931.99722
2026,1022867.01495,1037898.88499
2027,1033260.03025,1046254.49026
2028,1042167.21555,1053314.10832
2029,1046099.57495,1055078.3437
2030,1053464.83025,1060804.35348
2031,1066742.29495,1071781.16123
2032,1079997.96555,1082754.24179
2033,1084971.05435,1085462.38403
2034,1099596.23965,1097669.87473
2035,1108368.22495,1104720.90351
2036,1121522.14555,1115660.36538
