year,Base case diesel consumed,Modeled solar power
2020,117652.521754,116709.215004
2021,117652.521754,116716.761458
2022,117652.521754,116724.24754
2023,117652.521754,116731.673734
2024,117652.521754,116739.040518
2025,117652.521754,116746.348368
2026,117652.521754,116753.597755
2027,117652.521754,116760.789147
2028,117652.521754,116767.923008
2029,117652.521754,116774.999798
2030,117652.521754,116782.019974
2031,117652.521754,116788.983988
2032,117652.521754,116795.89229
2033,117652.521754,116802.745326
2034,117652.521754,116809.543537
2035,117652.521754,116816.287363
2036,117652.521754,116822.977238
2037,117652.521754,116829.613594
2038,117652.521754,116836.19686
2039,117652.521754,116842.727459
