year,Base case diesel consumed,Feasinility assessment for biomass heating system
2019,147450.0,139650.0
2020,147448.0,139648.0
2021,147449.0,139649.0
2022,147449.0,139649.0
2023,148569.0,140769.0
2024,148571.0,140771.0
2025,148572.0,140772.0
2026,148571.0,140771.0
2027,148570.0,140770.0
2028,148569.0,140769.0
2029,147448.0,139648.0
2030,147447.0,139647.0
2031,147448.0,139648.0
2032,147446.0,139646.0
2033,146327.0,138527.0
2034,146326.0,138526.0
2035,146325.0,138525.0
2036,146323.0,138523.0
2037,145204.0,137404.0
2038,145202.0,137402.0
