year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.5
2001,,,3.79
2003,,1.77,3.77
2004,,2.24,3.8
2005,,2.34,4.25
2008,,3.65,5.82
2009,,4.41,6.45
2010,,3.23,6.06
2011,,3.7,6.18
2012,,4.43,7.0
2013,,4.4,6.5
2014,,,6.7
2016,,2.23,4.96
2017,,2.66,5.39
2018,,2.97,5.7
2019,,3.41,6.14
2020,,3.61,6.34
2021,,3.75,6.48
2022,,3.85,6.58
2023,,3.93,6.66
2024,,3.99,6.72
2025,,4.06,6.79
2026,,4.15,6.88
2027,,4.22,6.95
2028,,4.28,7.01
2029,,4.36,7.09
2030,,4.41,7.14
2031,,4.5,7.23
2032,,4.59,7.32
2033,,4.68,7.41
2034,,4.78,7.51
2035,,4.84,7.57
2036,,4.93,7.66
2037,,4.99,7.72
2038,,5.09,7.82
2039,,5.16,7.89
2040,,5.27,8.0
