year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,149692.0,132694.201128
2018,148570.0,131572.201128
2019,147450.0,130452.201128
2020,147448.0,130450.201128
2021,147449.0,130451.201128
2022,147449.0,130451.201128
2023,148569.0,131571.201128
2024,148571.0,131573.201128
2025,148572.0,131574.201128
2026,148571.0,131573.201128
2027,148570.0,131572.201128
2028,148569.0,131571.201128
2029,147448.0,130450.201128
2030,147447.0,130449.201128
2031,147448.0,130450.201128
2032,147446.0,130448.201128
2033,146327.0,129329.201128
2034,146326.0,129328.201128
2035,146325.0,129327.201128
2036,146323.0,129325.201128
