year,Base case cost,Modeled diesel efficiency
2019,316821.033256,478883.346446
2020,333847.721441,494362.153886
2021,345300.23487,504773.529731
2022,355215.236781,513787.167831
2023,361432.050548,519438.816711
2024,367678.538845,525117.442435
2025,373424.269469,530340.833912
2026,381686.771061,537852.198995
2027,388127.998452,543707.86026
2028,394383.760039,549394.916248
2029,401532.539474,555893.806644
2030,406629.139783,560527.079652
2031,413820.576353,567064.749261
2032,419924.25598,572613.548922
2033,427787.078763,579761.569634
2034,433839.755294,585264.002844
2035,439071.74564,590020.357703
2036,447622.646558,597793.903992
2037,452223.125839,601976.157884
2038,463390.949259,612128.72463
