year,annotation,diesel generation efficiency
2002,,10.5
2003,,12.58
2004,,13.15
2005,,12.71
2006,,13.09
2007,,0.0
2008,,5.51
2009,,10.98
2010,,11.11
2011,,9.28
2012,,11.08
2013,,11.99
2016,start of forecast,10.78
2017,,10.78
2018,,10.78
2019,,10.78
2020,,10.78
2021,,10.78
2022,,10.78
2023,,10.78
2024,,10.78
2025,,10.78
2026,,10.78
2027,,10.78
2028,,10.78
2029,,10.78
2030,,10.78
2031,,10.78
2032,,10.78
2033,,10.78
2034,,10.78
2035,,10.78
2036,,10.78
2037,,10.78
2038,,10.78
2039,,10.78
2040,,10.78
