year,annotation,line losses
2002,,0.092
2003,,0.134
2004,,0.121
2005,,0.134
2006,,-0.048
2007,,-inf
2008,,-1.254
2009,,0.112
2010,,0.136
2011,,0.09
2012,,0.082
2013,,0.146
2016,start of forecast,0.1058
2017,,0.1058
2018,,0.1058
2019,,0.1058
2020,,0.1058
2021,,0.1058
2022,,0.1058
2023,,0.1058
2024,,0.1058
2025,,0.1058
2026,,0.1058
2027,,0.1058
2028,,0.1058
2029,,0.1058
2030,,0.1058
2031,,0.1058
2032,,0.1058
2033,,0.1058
2034,,0.1058
2035,,0.1058
2036,,0.1058
2037,,0.1058
2038,,0.1058
2039,,0.1058
2040,,0.1058
