year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,66251.0933031,49025.8090443
2018,66251.0933031,49025.8090443
2019,66251.0933031,49025.8090443
2020,66251.0933031,49025.8090443
2021,66251.0933031,49025.8090443
2022,66251.0933031,49025.8090443
2023,66251.0933031,49025.8090443
2024,66251.0933031,49025.8090443
2025,66251.0933031,49025.8090443
2026,66251.0933031,49025.8090443
2027,66251.0933031,49025.8090443
2028,66251.0933031,49025.8090443
2029,66251.0933031,49025.8090443
2030,66251.0933031,49025.8090443
2031,66251.0933031,49025.8090443
