year,Base case cost,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,550191.782152,1237328.3319,897309.703522,1009956.58053
2022,562575.367453,1209889.2546,879838.46271,991620.357343
2023,570498.964177,1184358.84869,863395.398231,974081.024497
2024,577556.658865,1158543.6402,846478.703754,956103.149756
2025,585468.393918,1134149.95227,830799.127984,939396.659464
2026,596017.373988,1110060.88212,815587.657971,923325.345663
2027,604808.190714,1086679.37761,800678.849138,907500.299313
2028,611840.844094,1063992.75492,786064.139249,891912.192297
2029,623374.342919,1043436.29057,773755.443183,878794.871698
2030,630487.392075,1022812.4763,760757.524916,864840.618857
2031,641083.818832,1001352.90495,747336.51968,850715.679996
2032,651680.24559,980374.007874,734239.994321,836944.245214
2033,661288.199702,958876.046722,720471.871265,822529.556689
2034,672750.528497,938728.598002,708019.824669,809503.1603
2035,678922.551694,919512.120466,695666.146142,796334.946661
2036,690384.880489,900249.505184,683811.407663,783959.286637
2037,698481.130436,882859.080714,673117.518329,772547.574262
2038,709077.557193,864536.675443,661814.261681,760729.813192
2039,717907.912825,846779.884098,650715.271873,749051.831352
2040,730270.410709,829103.763402,640025.842256,737985.5621
2041,730270.410709,812925.196602,629104.476881,726087.298174
2042,730270.410709,797125.814961,618439.081007,714467.899809
2043,731360.366545,782786.687019,609113.611087,704210.786823
2044,731360.366545,767719.222495,598942.296942,693129.665002
2045,732450.322382,754094.857528,590099.328824,683398.212827
2046,732450.322382,739725.40361,580399.207767,672830.431558
2047,732450.322382,725692.73382,570926.433334,662510.332701
2048,733540.278219,713078.910449,562765.632809,653522.066912
2049,733540.278219,699696.313611,553731.69108,643680.053638
2050,733540.278219,686627.371397,544909.482368,634068.71256
2051,733540.278219,673864.732534,536294.044183,624682.6373
2052,733540.278219,661401.217968,527880.530297,615516.548141
2053,733540.278219,649229.817124,519664.20821,606565.289271
2054,733540.278219,637343.683408,511640.456118,597823.825471
2055,733540.278219,625736.130957,503804.76072,589287.239734
2056,733540.278219,614400.630523,496152.714437,580950.73023
2057,733540.278219,603330.805846,488680.012966,572809.607642
2058,733540.278219,592520.430285,481382.453003,564859.292688
2059,733540.278219,581963.422822,474255.929548,557095.313183
2060,733540.278219,571653.845186,467296.433963,549513.301921
2061,733540.278219,561585.89836,460500.051612,542108.99411
2062,733540.278219,551753.918956,453862.959417,534878.224704
2063,733540.278219,542152.376596,447381.424089,527816.926475
2064,733540.278219,532775.870412,441051.799763,520921.127443
2065,733540.278219,523619.126173,434870.526062,514186.948761
2066,733540.278219,514676.992916,428834.125822,507610.602236
2067,733540.278219,505944.441072,422939.203822,501188.388954
2068,733540.278219,497416.558341,417182.44401,494916.696244
2069,733540.278219,489088.547948,411560.608314,488791.996396
2070,733540.278219,480955.72527,406070.534373,482810.844179
