year,Base case diesel consumed,Modeled solar power
2020,88171.7599603,86840.2229548
2021,88171.7599603,86850.8752509
2022,88039.9636076,86729.6459758
2023,88039.9636076,86740.1285169
2024,87908.1672549,86618.7308449
2025,87908.1672549,86629.0463362
2026,87908.1672549,86639.2793035
2027,87908.1672549,86649.4304071
2028,87908.1672549,86659.5003019
2029,88171.7599603,86933.082343
2030,88303.556313,87074.7881166
2031,88303.556313,87084.6182622
2032,88303.556313,87094.3697666
2033,88171.7599603,86972.2469062
2034,88171.7599603,86981.8430107
2035,88171.7599603,86991.3623463
2036,88171.7599603,87000.8055272
2037,88303.556313,87141.9695154
2038,88303.556313,87151.2622097
2039,88303.556313,87160.4805626
