year,Base case cost,Modeled solar power
2020,533439.14776,532433.995812
2021,550191.782152,548850.205853
2022,562575.367453,560956.841827
2023,570498.964177,568687.575098
2024,577556.658865,575557.138823
2025,585468.393918,583285.377239
2026,596017.373988,593617.332273
2027,604808.190714,602221.351956
2028,611840.844094,609096.73273
2029,623374.342919,620439.857639
2030,630487.392075,627416.25141
2031,641083.818832,637818.766194
2032,651680.24559,648225.866674
2033,661288.199702,657648.990466
2034,672750.528497,668918.997804
2035,678922.551694,674974.035676
2036,690384.880489,686252.414283
2037,698481.130436,694227.138535
2038,709077.557193,704659.280408
2039,717907.912825,713352.212207
