year,Base case cost,Modeled residential energy efficiency
2017,321597.488497,322899.23915
2018,342911.697804,342736.330712
2019,371176.192755,369179.955688
2020,384150.059289,381118.584167
2021,392953.754438,389107.661058
2022,399904.040081,395346.074774
2023,390640.553713,385520.327643
2024,394671.295043,388997.022129
2025,398702.036372,392481.738023
2026,404076.358145,397247.267709
2027,408554.959622,401171.793611
2028,412137.840804,404255.136441
2029,431412.001665,422966.454319
2030,434655.468299,425748.33582
2031,440215.696814,430736.269901
2032,445775.925329,435730.998377
2033,451336.153844,440732.362006
2034,457359.734735,446180.024301
2035,460603.201368,448995.100222
2036,466626.782259,454455.269756
