year,Base case diesel consumed,Modeled diesel efficiency
2019,88171.7599603,80156.1454185
2020,88171.7599603,80156.1454185
2021,88171.7599603,80156.1454185
2022,88039.9636076,80036.3305524
2023,88039.9636076,80036.3305524
2024,87908.1672549,79916.5156863
2025,87908.1672549,79916.5156863
2026,87908.1672549,79916.5156863
2027,87908.1672549,79916.5156863
2028,87908.1672549,79916.5156863
2029,88171.7599603,80156.1454185
2030,88303.556313,80275.9602846
2031,88303.556313,80275.9602846
2032,88303.556313,80275.9602846
2033,88171.7599603,80156.1454185
2034,88171.7599603,80156.1454185
2035,88171.7599603,80156.1454185
2036,88171.7599603,80156.1454185
2037,88303.556313,80275.9602846
2038,88303.556313,80275.9602846
