year,Base case cost,Modeled non-residential energy efficiency
2017,548298.801173,480568.027826
2018,585623.221055,510805.010059
2019,635118.647421,551158.308519
2020,657837.859523,569310.332472
2021,673254.467735,581419.282218
2022,685425.474218,590851.147138
2023,692728.078108,596259.00241
2024,700030.681998,601682.129962
2025,707333.285888,607120.171858
2026,717070.091075,614592.602772
2027,725184.095397,620732.707615
2028,731675.298855,625540.153035
2029,740600.703609,632380.987196
2030,746280.506635,636541.968979
2031,756017.311821,644082.260607
