year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,21158.235429,15657.0942175
2018,21158.235429,15657.0942175
2019,21158.235429,15657.0942175
2020,21158.235429,15657.0942175
2021,21158.235429,15657.0942175
2022,21158.235429,15657.0942175
2023,21158.235429,15657.0942175
2024,21158.235429,15657.0942175
2025,21158.235429,15657.0942175
2026,21158.235429,15657.0942175
2027,21158.235429,15657.0942175
2028,21158.235429,15657.0942175
2029,21158.235429,15657.0942175
2030,21158.235429,15657.0942175
2031,21158.235429,15657.0942175
