year,Base case cost,Modeled diesel efficiency
2019,108194.752302,260205.805454
2020,113561.555492,265084.717445
2021,117210.981661,268402.377598
2022,119475.395989,270460.936078
2023,121398.971237,272209.64085
2024,122895.08532,273569.744561
2025,124818.660568,275318.449332
2026,127169.696983,277455.755164
2027,128524.579402,278687.466454
2028,130014.102673,280041.578519
2029,132141.993061,281976.024325
2030,133418.727293,283136.69181
2031,135759.406719,285264.582197
2032,138100.086146,287392.472584
2033,140227.976533,289326.918391
2034,142781.444998,291648.253359
2035,144270.968269,293002.365424
2036,146611.647695,295130.255812
2037,148101.170967,296484.367876
2038,150654.639432,298805.702844
