year,Base case diesel consumed,Modeled non-residential ashp
2017,65792.0299815,46054.4210068
2018,65792.0299815,46054.4210068
2019,65792.0299815,46054.4210068
2020,65792.0299815,46054.4210068
2021,65792.0299815,46054.4210068
2022,65792.0299815,46054.4210068
2023,65792.0299815,46054.4210068
2024,65792.0299815,46054.4210068
2025,65792.0299815,46054.4210068
2026,65792.0299815,46054.4210068
2027,65792.0299815,46054.4210068
2028,65792.0299815,46054.4210068
2029,65792.0299815,46054.4210068
2030,65792.0299815,46054.4210068
2031,65792.0299815,46054.4210068
