year,population
2003,233.0
2004,240.0
2005,220.0
2006,196.0
2007,194.0
2008,191.0
2009,202.0
2010,194.0
2011,191.0
2012,189.0
2013,187.0
2014,186.0
2015,184.0
2016,183.0
2017,182.0
2018,181.0
2019,180.0
2020,179.0
2021,179.0
2022,177.0
2023,177.0
2024,176.0
2025,174.0
2026,173.0
2027,172.0
2028,170.0
2029,170.0
2030,169.0
2031,168.0
2032,165.0
2033,163.0
2034,161.0
2035,159.0
2036,157.0
2037,155.0
2038,153.0
2039,151.0
2040,148.0
