year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,707.209155449,589.659525557
2018,704.163658931,587.120239946
2019,702.748203489,585.940056153
2020,700.097598525,583.730024716
2021,698.402776878,582.316909911
2022,695.432587772,579.840414399
2023,693.044074194,577.848910511
2024,690.093589177,575.388843949
2025,687.149582218,572.934178687
2026,683.405805145,569.812678073
2027,680.136545743,567.086822599
2028,676.469695596,564.029462409
2029,675.102555663,562.889563303
2030,673.146992224,561.259046219
2031,668.73219642,557.578061069
