year,Base case diesel consumed,Shungnak river,Cosmos creek,Kogoluktuk river,Cosmos hills hydroelectric design & permitting,Dahl creek,Wesley creek
2020,121865.77289,,,,0.0,,
2021,121792.149325,0.0,0.0,0.0,0.0,21379.372985,0.0
2022,122013.020018,220.870692835,220.870692835,220.870692835,147.247128557,21600.2436778,220.870692835
2023,122381.13784,588.988514227,588.988514227,588.988514227,515.364949949,21968.3614992,588.988514227
2024,122675.632097,883.482771341,883.482771341,883.482771341,809.859207063,22262.8557563,883.482771341
2025,122896.50279,1104.35346418,1104.35346418,1104.35346418,1030.7298999,22483.7264491,1104.35346418
2026,122822.879225,1030.7298999,1030.7298999,1030.7298999,957.106335619,22410.1028849,1030.7298999
2027,122675.632097,883.482771341,883.482771341,883.482771341,809.859207063,22262.8557563,883.482771341
2028,122528.384968,736.235642784,736.235642784,736.235642784,662.612078506,22115.6086277,736.235642784
2029,122675.632097,883.482771341,883.482771341,883.482771341,809.859207063,22262.8557563,883.482771341
2030,122528.384968,736.235642784,736.235642784,736.235642784,662.612078506,22115.6086277,736.235642784
2031,122602.008532,809.859207063,809.859207063,809.859207063,736.235642784,22189.232192,809.859207063
2032,122454.761404,662.612078506,662.612078506,662.612078506,588.988514227,22041.9850635,662.612078506
2033,122381.13784,588.988514227,588.988514227,588.988514227,515.364949949,21968.3614992,588.988514227
2034,122160.267147,368.117821392,368.117821392,368.117821392,294.494257114,21747.4908064,368.117821392
2035,122233.890711,441.74138567,441.74138567,441.74138567,368.117821392,21821.1143706,441.74138567
2036,122160.267147,368.117821392,368.117821392,368.117821392,294.494257114,21747.4908064,368.117821392
2037,122233.890711,441.74138567,441.74138567,441.74138567,368.117821392,21821.1143706,441.74138567
2038,122086.643583,294.494257114,294.494257114,294.494257114,220.870692835,21673.8672421,294.494257114
2039,121865.77289,73.6235642784,73.6235642784,73.6235642784,0.0,21452.9965492,73.6235642784
2040,121718.525761,0.0,0.0,0.0,0.0,21305.7494207,0.0
2041,121497.655068,0.0,0.0,0.0,0.0,21084.8787278,0.0
2042,121350.40794,0.0,0.0,0.0,0.0,20937.6315993,0.0
2043,121203.160811,0.0,0.0,0.0,0.0,20790.3844707,0.0
2044,120982.290118,0.0,0.0,0.0,0.0,20569.5137779,0.0
2045,120982.290118,0.0,0.0,0.0,0.0,20569.5137779,0.0
2046,120687.795861,0.0,0.0,0.0,0.0,20275.0195208,0.0
2047,120614.172297,0.0,0.0,0.0,0.0,20201.3959565,0.0
2048,120393.301604,0.0,0.0,0.0,0.0,19980.5252637,0.0
2049,120319.67804,0.0,0.0,0.0,0.0,19906.9016994,0.0
2050,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2051,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2052,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2053,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2054,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2055,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2056,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2057,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2058,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2059,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2060,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2061,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2062,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2063,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2064,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2065,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2066,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2067,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2068,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2069,119951.560218,0.0,0.0,0.0,0.0,19538.783878,0.0
2070,119951.560218,0.0,0.0,0.0,,19538.783878,0.0
