year,Base case cost,Shungnak river,Cosmos creek,Kogoluktuk river,Cosmos hills hydroelectric design & permitting,Dahl creek,Wesley creek
2020,641013.9654,,,,3312815.42132,,
2021,661331.370837,4691345.56447,1391014.66738,2321713.81048,3248378.55045,960507.421119,1101383.47847
2022,678392.391301,4587071.13434,1366185.59171,2271231.46743,3186811.14494,950129.032217,1083556.95965
2023,691453.428794,4487643.91412,1342564.45521,2223470.99561,3127333.78284,939738.295131,1066614.41597
2024,701704.615593,4390949.79215,1319039.25757,2176814.0984,3068802.93109,928706.588577,1049533.8953
2025,714028.681207,4295319.35063,1295903.65511,2130554.45648,3011469.79212,918287.94645,1032785.52971
2026,725883.216221,4199782.27665,1271744.72618,2083514.37535,2953907.93375,906836.820342,1014916.5162
2027,736053.79258,4106322.06703,1247621.50686,2037235.3781,2897169.02741,894940.907738,996902.67511
2028,743747.296757,4015720.13728,1223871.02732,1992290.26678,2841577.48195,882704.336562,979040.998921
2029,756908.650037,3927749.52956,1202706.80323,1949646.68677,2789300.44321,873539.021438,963764.421621
2030,763351.838352,3841548.65957,1179935.45529,1906829.45492,2736166.93782,861586.984083,946579.845783
2031,776070.71401,3757067.97593,1159389.1084,1865684.38089,2685946.46024,852594.208769,931668.434708
2032,788608.663441,3672679.1191,1138029.80308,1823904.26008,2635601.47986,842812.175904,915865.389554
2033,801596.45285,3590592.98229,1117619.9587,1783488.53734,2586883.84411,833769.768653,900892.732267
2034,813587.379198,3509319.43674,1096701.16266,1742969.07524,2538319.25147,824013.492305,885294.840954
2035,822634.084485,3433367.1019,1077889.19836,1705940.09636,2492530.75614,815209.643756,871517.203523
2036,835576.227284,3356537.44708,1058863.40304,1668095.79044,2447136.97201,806950.829061,857587.860485
2037,844636.184813,3284009.17938,1040984.40223,1632763.59878,2403529.29886,798693.675361,844523.994691
2038,858269.104385,3209576.57766,1022403.89472,1595863.51798,2359793.71885,790741.505443,830869.140208
2039,866465.645246,3137813.10293,1003394.93795,1559882.82528,2316240.44474,781224.59365,816509.536049
2040,880024.941253,3066483.44673,985597.354762,1524477.03513,2274449.94811,773695.607337,803433.467564
2041,878428.046144,3001025.42898,966780.58867,1491359.09984,2232269.35619,762110.998214,788720.658417
2042,877363.449404,2937596.45462,948899.711662,1459512.23728,2191572.2432,751292.774501,774847.551866
2043,876298.852665,2875629.14562,931412.966292,1428386.8342,2151804.01717,740703.151461,761274.644817
2044,874701.957556,2814556.94534,913778.8166,1397433.68278,2112410.60922,729804.472819,747462.602874
2045,874701.957556,2756475.59285,898117.435232,1368765.46385,2075499.95211,720720.699873,735533.74859
2046,872572.764077,2697626.32852,880693.92399,1338639.96278,2037325.19513,709720.634364,721755.283335
2047,872040.465707,2641703.33609,865225.768467,1310767.52034,2001592.15115,700525.37505,709846.743024
2048,870443.570598,2586013.96631,849043.075357,1282471.26579,1965619.52759,690468.557143,697140.236644
2049,869911.272228,2532656.98515,834266.833493,1255865.37398,1931517.18214,681674.615339,685758.708415
2050,867249.780379,2478408.88937,817695.240672,1227741.3887,1896072.44122,670945.112379,672502.265606
2051,867249.780379,2428031.34654,804111.15771,1202875.6725,1864057.54954,663066.19529,662155.633823
2052,867249.780379,2378834.52734,790845.451684,1178592.74651,1832793.007,655371.940315,652051.501216
2053,867249.780379,2330790.75877,777890.660692,1154878.95169,1802261.22692,647858.019469,642184.184255
2054,867249.780379,2283873.01562,765239.497506,1131720.94873,1772445.03553,640520.206081,632548.132452
2055,867249.780379,2238054.90723,752884.845998,1109105.71154,1743327.66115,633354.372717,623137.925645
2056,867249.780379,2193310.6608,740819.756646,1087020.519,1714892.72527,626356.48858,613948.270568
2057,867249.780379,2149615.1077,729037.442841,1065452.94818,1687124.23309,619522.617361,604973.998044
2058,867249.780379,2106943.66896,717531.276968,1044390.86722,1660006.56516,612848.914971,596210.059996
2059,867249.780379,2065272.3424,706294.786951,1023822.42895,1633524.4674,606331.627534,587651.526816
2060,867249.780379,2024577.68728,695321.652094,1003736.06331,1607663.04382,599967.088979,579293.584202
2061,867249.780379,1984836.81316,684605.700092,984120.471887,1582407.74737,593751.7193,571131.530872
2062,867249.780379,1946027.36581,674140.90322,964964.620893,1557744.37185,587682.022351,563160.775671
2063,867249.780379,1908127.51475,663921.374993,946257.735099,1533659.04443,581754.583906,555376.835022
2064,867249.780379,1871115.9418,653941.367052,927989.292111,1510138.21668,575966.069853,547775.330552
2065,867249.780379,1834971.82732,644195.265473,910149.01562,1487168.65826,570313.224056,540351.986286
2066,867249.780379,1799674.8404,634677.588118,892726.87055,1464737.44904,564792.866813,533102.626628
2067,867249.780379,1765205.1269,625382.981403,875713.057147,1442831.97112,559401.892988,526023.173895
2068,867249.780379,1731543.29703,616306.216958,859098.004858,1421439.90289,554137.270068,519109.645779
2069,867249.780379,1698670.41639,607442.189204,842872.367902,1400549.21132,548996.036762,512358.153496
2070,867249.780379,1666567.99398,598785.912125,827027.019357,,543975.301126,505764.899332
