year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,10650.08,1544918.0,0.0,1544918.0
2004,,10650.08,1516360.0,0.0,1516360.0
2005,,10650.08,1458706.0,0.0,1458706.0
2006,,10650.08,1558367.0,0.0,1558367.0
2007,,10650.08,1492632.0,0.0,1492632.0
2008,,10650.08,1478284.0,0.0,1478284.0
2009,,10650.08,1527952.0,0.0,1527952.0
2010,,10650.08,1562586.0,0.0,1562586.0
2011,,10650.08,1569474.0,0.0,1569474.0
2012,,10650.08,1616404.0,0.0,1616404.0
2013,,10650.08,1787225.0,0.0,1787225.0
2014,,10650.08,1633556.0,0.0,1633556.0
2015,,10650.08,1578936.0,0.0,1578936.0
2016,start of forecast,10650.08,1671000.0,11745.0,1659255.0
2017,,10650.08,1671000.0,11745.0,1659255.0
2018,,10650.08,1669000.0,11745.0,1657255.0
2019,,10650.08,1669000.0,11745.0,1657255.0
2020,,10650.08,1667000.0,11745.0,1655255.0
2021,,10650.08,1666000.0,11745.0,1654255.0
2022,,10650.08,1669000.0,11745.0,1657255.0
2023,,10650.08,1674000.0,11745.0,1662255.0
2024,,10650.08,1678000.0,11745.0,1666255.0
2025,,10650.08,1681000.0,11745.0,1669255.0
2026,,10650.08,1680000.0,11745.0,1668255.0
2027,,10650.08,1678000.0,11745.0,1666255.0
2028,,10650.08,1676000.0,11745.0,1664255.0
2029,,10650.08,1678000.0,11745.0,1666255.0
2030,,10650.08,1676000.0,11745.0,1664255.0
2031,,10650.08,1677000.0,11745.0,1665255.0
2032,,10650.08,1675000.0,11745.0,1663255.0
2033,,10650.08,1674000.0,11745.0,1662255.0
2034,,10650.08,1671000.0,11745.0,1659255.0
2035,,10650.08,1672000.0,11745.0,1660255.0
2036,,10650.08,1671000.0,11745.0,1659255.0
2037,,10650.08,1672000.0,11745.0,1660255.0
2038,,10650.08,1670000.0,11745.0,1658255.0
2039,,10650.08,1667000.0,11745.0,1655255.0
2040,,10650.08,1665000.0,11745.0,1653255.0
