year,Base case cost,Modeled wind power
2019,611285.230291,814810.826727
2020,641013.9654,832564.107031
2021,661331.370837,842851.363169
2022,678392.391301,850925.951143
2023,691453.428794,856040.859929
2024,701704.615593,858933.841854
2025,714028.681207,863586.277783
2026,725883.216221,867677.103091
2027,736053.79258,870437.832438
2028,743747.296757,871296.844324
2029,756908.650037,877073.482575
2030,763351.838352,877150.506194
2031,776070.71401,882722.756753
2032,788608.663441,888004.434031
2033,801596.45285,893848.135181
2034,813587.379198,898804.527929
2035,822634.084485,901821.780268
2036,835576.227284,907940.855797
2037,844636.184813,911177.870507
2038,858269.104385,917964.869434
