year,annotation,diesel generation efficiency
2002,,14.1
2003,,14.1
2004,,14.03
2005,,13.62
2006,,13.75
2007,,13.73
2008,,13.74
2009,,13.51
2010,,13.36
2011,,13.79
2012,,13.76
2013,,14.18
2014,,13.62
2015,,12.95
2016,start of forecast,13.58
2017,,13.58
2018,,13.58
2019,,13.58
2020,,13.58
2021,,13.58
2022,,13.58
2023,,13.58
2024,,13.58
2025,,13.58
2026,,13.58
2027,,13.58
2028,,13.58
2029,,13.58
2030,,13.58
2031,,13.58
2032,,13.58
2033,,13.58
2034,,13.58
2035,,13.58
2036,,13.58
2037,,13.58
2038,,13.58
2039,,13.58
2040,,13.58
