year,Base case diesel consumed,Modeled wind power
2019,122013.020018,95640.4265787
2020,121865.77289,95493.1794501
2021,121792.149325,95419.5558858
2022,122013.020018,95640.4265787
2023,122381.13784,96008.5444001
2024,122675.632097,96303.0386572
2025,122896.50279,96523.90935
2026,122822.879225,96450.2857857
2027,122675.632097,96303.0386572
2028,122528.384968,96155.7915286
2029,122675.632097,96303.0386572
2030,122528.384968,96155.7915286
2031,122602.008532,96229.4150929
2032,122454.761404,96082.1679643
2033,122381.13784,96008.5444001
2034,122160.267147,95787.6737072
2035,122233.890711,95861.2972715
2036,122160.267147,95787.6737072
2037,122233.890711,95861.2972715
2038,122086.643583,95714.050143
