year,Base case cost,Modeled solar power (pv)
2016,430004.140357,436263.266629
2017,497192.287287,502784.112045
2018,545398.199481,550468.23652
2019,611285.230291,615720.324171
2020,641013.9654,645079.219568
2021,661331.370837,665103.710452
2022,678392.391301,681912.563463
2023,691453.428794,694761.228358
2024,701704.615593,704821.989194
2025,714028.681207,716943.507509
2026,725883.216221,728591.994364
2027,736053.79258,738569.62637
2028,743747.296757,746091.176913
2029,756908.650037,759060.459276
2030,763351.838352,765348.356383
2031,776070.71401,777883.901221
2032,788608.663441,790234.947956
2033,801596.45285,803040.226573
2034,813587.379198,814852.941782
2035,822634.084485,823756.608766
