year,Base case diesel consumed,Modeled solar power (pv)
2016,122160.267147,121258.55576
2017,122160.267147,121265.769451
2018,122013.020018,121125.678304
2019,122013.020018,121132.777038
2020,121865.77289,120992.571853
2021,121792.149325,120925.933897
2022,122013.020018,121153.734313
2023,122381.13784,121528.72642
2024,122675.632097,121830.039969
2025,122896.50279,122057.675399
2026,122822.879225,121990.762453
2027,122675.632097,121850.172259
2028,122528.384968,121709.528809
2029,122675.632097,121863.326787
2030,122528.384968,121722.578101
2031,122602.008532,121802.64812
2032,122454.761404,121661.795875
2033,122381.13784,121594.516035
2034,122160.267147,121379.938316
2035,122233.890711,121459.804511
