year,Base case cost,Modeled water and wastewater efficiency
2017,47085.6995724,35787.5044851
2018,49417.8974632,37360.0659106
2019,52598.4725187,39527.1633675
2020,53975.465641,40434.5444199
2021,55034.0234827,41120.5759536
2022,55775.2434153,41586.003363
2023,56195.8536802,41828.4830287
2024,56617.7785368,42073.1014127
2025,57142.374853,42390.6608603
2026,57775.4522808,42785.2415248
2027,58194.9303037,43031.5904571
2028,58611.079504,43276.6863682
2029,59139.8319301,43601.6375873
2030,59558.5440678,43850.6682343
2031,60082.7362528,44174.4698399
