year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,20950.67,5390.21,22833.73,8291.1
2018,20859.58,5390.03,22833.73,7358.47
2019,20859.58,5389.85,22833.73,7358.47
2020,20859.58,5389.66,22833.73,7358.47
2021,20859.58,5389.45,22833.73,7358.47
2022,20768.49,5389.33,22833.73,7358.47
2023,20768.49,5388.99,22833.73,7358.47
2024,20768.49,5388.77,22833.73,7358.47
2025,20677.4,5388.25,22833.73,7358.47
2026,20586.31,5387.96,22833.73,7358.47
2027,20586.31,5387.54,22833.73,7358.47
2028,20495.22,5386.82,22833.73,7358.47
2029,20495.22,5386.7,22833.73,7358.47
2030,20404.13,5386.23,22833.73,7358.47
2031,20313.05,5385.72,22833.73,7358.47
2032,20221.96,,,7358.47
2033,20039.78,,,7358.47
2034,19948.69,,,7358.47
2035,19766.51,,,6425.85
2036,19675.42,,,6425.85
