year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,3432.67,131719.0,131719.0
2004,,3432.67,129238.0,129238.0
2005,,3432.67,170988.0,170988.0
2006,,3432.67,231728.0,231728.0
2007,,3432.67,250867.0,250867.0
2008,,3432.67,264161.0,264161.0
2009,,3432.67,262694.0,262694.0
2010,,3432.67,263264.0,263264.0
2011,,3432.67,255889.0,255889.0
2012,,3432.67,269191.0,269191.0
2013,,3432.67,262357.0,262357.0
2014,,3432.67,240490.0,240490.0
2015,,3432.67,208071.0,208071.0
2016,start of forecast,3432.67,230000.0,230000.0
2017,,3432.67,230000.0,230000.0
2018,,3432.67,229000.0,229000.0
2019,,3432.67,229000.0,229000.0
2020,,3432.67,229000.0,229000.0
2021,,3432.67,229000.0,229000.0
2022,,3432.67,228000.0,228000.0
2023,,3432.67,228000.0,228000.0
2024,,3432.67,228000.0,228000.0
2025,,3432.67,227000.0,227000.0
2026,,3432.67,226000.0,226000.0
2027,,3432.67,226000.0,226000.0
2028,,3432.67,225000.0,225000.0
2029,,3432.67,225000.0,225000.0
2030,,3432.67,224000.0,224000.0
2031,,3432.67,223000.0,223000.0
2032,,3432.67,222000.0,222000.0
2033,,3432.67,220000.0,220000.0
2034,,3432.67,219000.0,219000.0
2035,,3432.67,217000.0,217000.0
2036,,3432.67,216000.0,216000.0
2037,,3432.67,215000.0,215000.0
2038,,3432.67,213000.0,213000.0
2039,,3432.67,212000.0,212000.0
2040,,3432.67,210000.0,210000.0
