year,Base case cost,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,68628.0327602,576527.590623,352982.517739,360380.91253
2022,69782.1416452,563988.871902,345266.133078,352534.932779
2023,70612.8814267,552167.242036,338083.736358,345222.931508
2024,71443.6212082,540618.365891,331067.677941,338080.406869
2025,72164.1422248,528971.912678,323874.831653,330765.233503
2026,73081.4174002,517528.612424,316808.363196,323580.505283
2027,73904.8699906,506752.95007,310261.004533,316915.660912
2028,74397.6662864,495894.699498,303534.273389,310074.298355
2029,75422.4275301,485556.948442,297258.236402,303687.491719
2030,75903.3821404,475165.68623,290811.677107,297131.810472
2031,76580.1800106,464947.579343,284472.846259,290687.59031
2032,77450.0884441,454894.480246,278235.708934,284348.734006
2033,77954.7264254,444696.439328,271767.668126,277781.509341
2034,78797.3078924,435051.506712,265768.788632,271685.921695
2035,78670.6929476,425408.657592,259615.881675,265435.501156
2036,79488.6801447,416154.449627,253845.689315,259573.37934
2037,79904.0500355,407205.450864,248253.103453,253889.020963
2038,80324.8853195,397950.169915,242327.307111,247875.852486
2039,80720.2154348,389367.927281,236950.568174,242411.791542
2040,81297.7253268,380393.331955,231182.795686,236562.067488
2041,80523.461276,372025.249962,225777.457136,231069.353786
2042,79749.1972253,363835.148072,220480.659391,225687.228744
2043,78974.9331746,355818.854912,215289.858549,220413.100464
2044,78587.8011492,348359.428808,210589.702297,215631.56976
2045,77813.5370985,340678.627598,205603.500541,210565.900766
2046,77039.2730478,333159.698343,200716.016069,205600.81157
2047,76265.008997,325798.847195,195924.935211,200733.944849
2048,75490.7449463,318592.369183,191227.998497,195962.998503
2049,74716.4808956,311536.646126,186622.999388,191285.724361
2050,73942.2168448,304628.144807,182107.783157,186699.927045
2051,73942.2168448,298637.678733,178454.509549,182977.726595
2052,73942.2168448,292787.614204,174886.859539,179342.765216
2053,73942.2168448,287074.660584,171402.826339,175792.998258
2054,73942.2168448,281495.604267,168000.450138,172326.428934
2055,73942.2168448,276047.3071,164677.81714,168941.107339
2056,73942.2168448,270726.704403,161433.058356,165635.129222
2057,73942.2168448,265530.803339,158264.348611,162406.634971
2058,73942.2168448,260456.681185,155169.905487,159253.808542
2059,73942.2168448,255501.48381,152147.988399,156174.876507
2060,73942.2168448,250662.42384,149196.897473,153168.106922
2061,73942.2168448,245936.779341,146314.972742,150231.8085
2062,73942.2168448,241321.892138,143500.593123,147364.329574
2063,73942.2168448,236815.166339,140752.175518,144564.057177
2064,73942.2168448,232414.066968,138068.173976,141829.41619
2065,73942.2168448,228116.11833,135447.0787,139158.86833
2066,73942.2168448,223918.902849,132887.415336,136550.911427
2067,73942.2168448,219820.059641,130387.744102,134004.078536
2068,73942.2168448,215817.283036,127946.658893,131516.937019
2069,73942.2168448,211908.32152,125562.786626,129088.087889
2070,73942.2168448,208090.976299,123234.786371,126716.164916
