year,Base case diesel consumed,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,20859.5844256,0.0,0.0,0.0
2022,20768.4945373,0.0,0.0,0.0
2023,20768.4945373,0.0,0.0,0.0
2024,20768.4945373,0.0,0.0,0.0
2025,20677.4046489,0.0,0.0,0.0
2026,20586.3147606,0.0,0.0,0.0
2027,20586.3147606,0.0,0.0,0.0
2028,20495.2248723,0.0,0.0,0.0
2029,20495.2248723,0.0,0.0,0.0
2030,20404.134984,0.0,0.0,0.0
2031,20313.0450957,0.0,0.0,0.0
2032,20221.9552073,0.0,0.0,0.0
2033,20039.7754307,0.0,0.0,0.0
2034,19948.6855424,0.0,0.0,0.0
2035,19766.5057657,0.0,0.0,0.0
2036,19675.4158774,0.0,0.0,0.0
2037,19584.3259891,0.0,0.0,0.0
2038,19402.1462124,0.0,0.0,0.0
2039,19311.0563241,0.0,0.0,0.0
2040,19128.8765475,0.0,0.0,0.0
2041,18946.6967708,0.0,0.0,0.0
2042,18764.5169942,0.0,0.0,0.0
2043,18582.3372175,0.0,0.0,0.0
2044,18491.2473292,0.0,0.0,0.0
2045,18309.0675526,0.0,0.0,0.0
2046,18126.8877759,0.0,0.0,0.0
2047,17944.7079993,0.0,0.0,0.0
2048,17762.5282227,0.0,0.0,0.0
2049,17580.348446,0.0,0.0,0.0
2050,17398.1686694,0.0,0.0,0.0
2051,17398.1686694,0.0,0.0,0.0
2052,17398.1686694,0.0,0.0,0.0
2053,17398.1686694,0.0,0.0,0.0
2054,17398.1686694,0.0,0.0,0.0
2055,17398.1686694,0.0,0.0,0.0
2056,17398.1686694,0.0,0.0,0.0
2057,17398.1686694,0.0,0.0,0.0
2058,17398.1686694,0.0,0.0,0.0
2059,17398.1686694,0.0,0.0,0.0
2060,17398.1686694,0.0,0.0,0.0
2061,17398.1686694,0.0,0.0,0.0
2062,17398.1686694,0.0,0.0,0.0
2063,17398.1686694,0.0,0.0,0.0
2064,17398.1686694,0.0,0.0,0.0
2065,17398.1686694,0.0,0.0,0.0
2066,17398.1686694,0.0,0.0,0.0
2067,17398.1686694,0.0,0.0,0.0
2068,17398.1686694,0.0,0.0,0.0
2069,17398.1686694,0.0,0.0,0.0
2070,17398.1686694,0.0,0.0,0.0
