year,annotation,diesel generation efficiency
2002,,10.51
2003,,9.17
2004,,8.44
2005,,10.23
2006,,15.6
2007,,12.26
2008,,11.14
2009,,11.55
2010,,11.62
2011,,11.58
2012,,11.48
2013,,10.9
2014,,11.18
2015,,10.86
2016,start of forecast,10.98
2017,,10.98
2018,,10.98
2019,,10.98
2020,,10.98
2021,,10.98
2022,,10.98
2023,,10.98
2024,,10.98
2025,,10.98
2026,,10.98
2027,,10.98
2028,,10.98
2029,,10.98
2030,,10.98
2031,,10.98
2032,,10.98
2033,,10.98
2034,,10.98
2035,,10.98
2036,,10.98
2037,,10.98
2038,,10.98
2039,,10.98
2040,,10.98
