year,Base case cost,Modeled biomass for heat (cordwood)
2017,84913.0799326,99161.5091855
2018,89936.5599326,102509.225839
2019,96786.7599326,107216.247034
2020,99755.1799326,109061.405005
2021,102038.579933,110408.244157
2022,103636.959933,111256.572367
2023,104550.319933,111606.20202
2024,105463.679933,111963.465851
2025,106605.379933,112497.023587
2026,107975.419933,113206.700494
2027,108888.779933,113585.809981
2028,109802.139933,113971.862714
2029,110943.839933,114533.53461
2030,111857.199933,114932.98945
2031,112998.899933,115507.749341
2032,,
2033,,
2034,,
2035,,
2036,,
