year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,643304.0,258065.0,385239.0
2004,,660741.0,242782.0,417959.0
2005,,687570.0,238746.0,448824.0
2006,,712192.0,241175.0,471017.0
2007,,645499.0,219185.0,426314.0
2008,,657874.0,206891.0,450983.0
2009,,624843.0,174269.0,450574.0
2012,,647588.0,214175.0,433413.0
2013,,658698.0,218079.0,440619.0
2014,start of forecast,650454.0,208919.0,441535.0
2015,,650523.0,208987.0,441535.0
2016,,649466.0,207931.0,441535.0
2017,,648324.0,206789.0,441535.0
2018,,647017.0,205482.0,441535.0
2019,,645532.0,203996.0,441535.0
2020,,643687.0,202151.0,441535.0
2021,,642644.0,201109.0,441535.0
2022,,641813.0,200278.0,441535.0
2023,,641791.0,200255.0,441535.0
2024,,641291.0,199755.0,441535.0
2025,,641138.0,199603.0,441535.0
2026,,640454.0,198919.0,441535.0
2027,,638477.0,196942.0,441535.0
2028,,637557.0,196022.0,441535.0
2029,,636716.0,195181.0,441535.0
2030,,635699.0,194163.0,441535.0
2031,,635427.0,193892.0,441535.0
2032,,633910.0,192375.0,441535.0
2033,,633288.0,191753.0,441535.0
2034,,632517.0,190982.0,441535.0
2035,,631741.0,190205.0,441535.0
2036,,630984.0,189448.0,441535.0
2037,,630039.0,188504.0,441535.0
2038,,628871.0,187335.0,441535.0
2039,,628143.0,186608.0,441535.0
2040,,627576.0,186041.0,441535.0
