year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,33938.6720266,25114.6172997
2018,33938.6720266,25114.6172997
2019,33938.6720266,25114.6172997
2020,33938.6720266,25114.6172997
2021,33938.6720266,25114.6172997
2022,33938.6720266,25114.6172997
2023,33938.6720266,25114.6172997
2024,33938.6720266,25114.6172997
2025,33938.6720266,25114.6172997
2026,33938.6720266,25114.6172997
2027,33938.6720266,25114.6172997
2028,33938.6720266,25114.6172997
2029,33938.6720266,25114.6172997
2030,33938.6720266,25114.6172997
2031,33938.6720266,25114.6172997
