year,Base case cost,Modeled biomass for heat (pellet)
2017,4394311.05548,4773538.23734
2018,4903998.63018,5209124.35591
2019,5611381.74488,5816037.19889
2020,5953855.19825,6106754.67523
2021,6180104.75765,6296833.25796
2022,6351132.38969,6438438.28717
2023,6477586.22777,6542215.01065
2024,6565375.45717,6611861.37773
2025,6685670.49524,6709711.38228
2026,6821910.99198,6821410.40474
2027,6941281.71741,6918557.42639
2028,7027527.68151,6987103.31225
2029,7168475.06488,7103829.65047
2030,7243931.40825,7164000.46292
2031,7394445.86029,7288286.75016
2032,7528132.52704,7398050.79468
2033,7677546.57379,7521428.64961
2034,7826410.25186,7644348.76117
2035,7932992.58258,7731703.23348
2036,8087914.8486,7860860.72173
