year,Base case cost,Modeled biomass for heat (cordwood)
2017,4394311.05548,4889195.8423
2018,4903998.63018,5325104.61635
2019,5611381.74488,5934887.60427
2020,5953855.19825,6224193.45445
2021,6180104.75765,6411586.95331
2022,6351132.38969,6550033.41064
2023,6477586.22777,6650175.05524
2024,6565375.45717,6715907.65356
2025,6685670.49524,6810365.38147
2026,6821910.99198,6918990.04252
2027,6941281.71741,7012976.34174
2028,7027527.68151,7078071.69761
2029,7168475.06488,7192058.90599
2030,7243931.40825,7248794.07487
2031,7394445.86029,7370752.59491
2032,7528132.52704,7478089.71835
2033,7677546.57379,7599340.64738
2034,7826410.25186,7720230.73723
2035,7932992.58258,7805047.525
2036,8087914.8486,7932362.03954
