year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1657403.0,1456637.73609
2018,1656016.0,1455250.73609
2019,1654629.0,1453863.73609
2020,1653241.0,1452475.73609
2021,1651850.0,1451084.73609
2022,1649078.0,1448312.73609
2023,1647686.0,1446920.73609
2024,1644912.0,1444146.73609
2025,1642137.0,1441371.73609
2026,1639361.0,1438595.73609
2027,1636584.0,1435818.73609
2028,1633806.0,1433040.73609
2029,1632418.0,1431652.73609
2030,1631030.0,1430264.73609
2031,1628258.0,1427492.73609
2032,1625482.0,1424716.73609
2033,1622706.0,1421940.73609
2034,1619931.0,1419165.73609
2035,1618541.0,1417775.73609
2036,1617155.0,1416389.73609
