year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1657403.0,1436561.20969
2018,1656016.0,1435174.20969
2019,1654629.0,1433787.20969
2020,1653241.0,1432399.20969
2021,1651850.0,1431008.20969
2022,1649078.0,1428236.20969
2023,1647686.0,1426844.20969
2024,1644912.0,1424070.20969
2025,1642137.0,1421295.20969
2026,1639361.0,1418519.20969
2027,1636584.0,1415742.20969
2028,1633806.0,1412964.20969
2029,1632418.0,1411576.20969
2030,1631030.0,1410188.20969
2031,1628258.0,1407416.20969
2032,1625482.0,1404640.20969
2033,1622706.0,1401864.20969
2034,1619931.0,1399089.20969
2035,1618541.0,1397699.20969
2036,1617155.0,1396313.20969
