year,Base case cost,Modeled biomass for heat (cordwood)
2017,147816.267881,157315.380262
2018,158909.307881,165151.025398
2019,173580.747881,175641.194512
2020,180737.547881,180583.307315
2021,185747.307881,183946.060061
2022,189325.707881,186258.446361
2023,191830.587881,187784.871463
2024,193977.627881,189054.337879
2025,196482.507881,190595.852412
2026,199345.227881,192409.24033
2027,201850.107881,193965.145267
2028,203997.147881,195263.400584
2029,206859.867881,197097.622143
2030,208649.067881,198144.686701
2031,211869.627881,200256.589121
2032,,
2033,,
2034,,
2035,,
2036,,
