year,Base case diesel consumed,Modeled transmission and interties
2021,32072.9022568,0.0
2022,32072.9022568,0.0
2023,32072.9022568,0.0
2024,32072.9022568,0.0
2025,32072.9022568,0.0
2026,32178.4052247,0.0
2027,32178.4052247,0.0
2028,32178.4052247,0.0
2029,32178.4052247,0.0
2030,32283.9081927,0.0
2031,32283.9081927,0.0
2032,32283.9081927,0.0
2033,32389.4111606,0.0
2034,32389.4111606,0.0
2035,32389.4111606,0.0
2036,32389.4111606,0.0
2037,32389.4111606,0.0
2038,32389.4111606,0.0
2039,32494.9141286,0.0
2040,32494.9141286,0.0
