year,annotation,diesel generation efficiency
2002,,9.32
2003,,13.86
2004,,13.25
2005,,62.47
2006,,6.63
2007,,13.36
2008,,11.74
2009,,121.23
2010,,10.36
2011,,10.12
2012,,9.79
2013,,9.77
2014,,9.44
2015,,9.23
2016,start of forecast,9.48
2017,,9.48
2018,,9.48
2019,,9.48
2020,,9.48
2021,,9.48
2022,,9.48
2023,,9.48
2024,,9.48
2025,,9.48
2026,,9.48
2027,,9.48
2028,,9.48
2029,,9.48
2030,,9.48
2031,,9.48
2032,,9.48
2033,,9.48
2034,,9.48
2035,,9.48
2036,,9.48
2037,,9.48
2038,,9.48
2039,,9.48
2040,,9.48
