year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1799.79667787,1169.86784062
2018,1797.57378171,1168.42295811
2019,1795.50277202,1167.07680181
2020,1793.38082276,1165.69753479
2021,1791.20127517,1164.28082886
2022,1789.50335619,1163.17718152
2023,1787.83207228,1162.09084698
2024,1786.5445331,1161.25394652
2025,1784.82424067,1160.13575643
2026,1782.52709925,1158.64261451
2027,1780.16922988,1157.10999942
2028,1777.61093163,1155.44710556
2029,1775.19513098,1153.87683514
2030,1772.6661313,1152.23298535
2031,1770.68181876,1150.94318219
