year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,139120.598381,102949.242802
2018,139120.598381,102949.242802
2019,139120.598381,102949.242802
2020,139120.598381,102949.242802
2021,139120.598381,102949.242802
2022,139120.598381,102949.242802
2023,139120.598381,102949.242802
2024,139120.598381,102949.242802
2025,139120.598381,102949.242802
2026,139120.598381,102949.242802
2027,139120.598381,102949.242802
2028,139120.598381,102949.242802
2029,139120.598381,102949.242802
2030,139120.598381,102949.242802
2031,139120.598381,102949.242802
